taxon,Genus,Species,Phylum,Class,Order,Family,Lineage,rep_gene,n_pairs_P,median_delta_P,p_P,p_P_adj,q80_rel_P,iqr_P,sd_P,p_PH,p_PH_adj,cliffs_delta_PH,HL_P_ok_adapt,prev_baseline_P,median_a_P,Cohort,Sex,Status
71174, g__Anaerococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiales Family XI. Incertae Sedis,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XI. Incertae Sedis; g__Anaerococcus; s__unclassified; 71174; GQ077116.1 gg_id:375675 Topographical and Temporal Human Skin Microbiome skin buttock clone nbw1207c04c1, GQ077116.1 gg_id:375675 Topographical and Temporal Human Skin Microbiome skin buttock clone nbw1207c04c1,5,214.0,0.3125,0.9960878674785569,0.0231820499891816,286.0,248.51687105707734,0.9047619047619049,0.9769758883945736,-0.1,True,1.0,12212.0,FMF,Female,Placebo-resistant (STRICT-ADAPTIVE)
73007, g__Lactobacillus, s__unclassified, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__unclassified; 73007; EU465367.1 gg_id:302089 lion feces clone LI3_aah76b05, EU465367.1 gg_id:302089 lion feces clone LI3_aah76b05,5,51.0,0.8125,0.9960878674785569,0.05420318472900405,573.0,718.7415841594252,0.9047619047619049,0.9769758883945736,0.1,True,1.0,12387.0,FMF,Female,Placebo-resistant (STRICT-ADAPTIVE)
22961, g__Butyrivibrio, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Butyrivibrio; s__unclassified; 22961; AF001728.1 gg_id:13939 rumen clone RCP17, AF001728.1 gg_id:13939 rumen clone RCP17,5,-38.0,1.0,1.0,0.019175156206872178,278.0,232.8063050692571,1.0,1.0,-0.1,True,1.0,12691.0,FMF,Female,Placebo-resistant (STRICT-ADAPTIVE)
26831, g__Ruminococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__unclassified; 26831; DQ801034.1 gg_id:182668 human fecal clone RL387_aao91c01, DQ801034.1 gg_id:182668 human fecal clone RL387_aao91c01,5,92.0,0.4375,0.9960878674785569,0.06577941334872045,546.0,687.2027755473634,1.0,1.0,0.0,True,1.0,13298.0,FMF,Female,Placebo-resistant (STRICT-ADAPTIVE)
27275, g__Clostridium, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__unclassified; 27275; DQ824440.1 gg_id:197356 human fecal clone RL304_aal76a10, DQ824440.1 gg_id:197356 human fecal clone RL304_aal76a10,5,101.0,0.8125,0.9960878674785569,0.025695634931591094,358.0,353.83878317674566,0.9047619047619049,0.9769758883945736,-0.1,True,1.0,13337.0,FMF,Female,Placebo-resistant (STRICT-ADAPTIVE)
5401, g__unclassified, s__unclassified, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__unclassified; s__unclassified; 5401; FJ608656.1 gg_id:566084 Klebsiella pneumoniae str. EP4, FJ608656.1 gg_id:566084 Klebsiella pneumoniae str. EP4,5,283.0,0.3125,0.9960878674785569,0.026783577232549892,441.0,293.6971672999248,0.9047619047619049,0.9769758883945736,-0.1,True,1.0,13321.0,FMF,Female,Placebo-resistant (STRICT-ADAPTIVE)
24290, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 24290; DQ801572.1 gg_id:194536 human fecal clone RL117_aae91f06, DQ801572.1 gg_id:194536 human fecal clone RL117_aae91f06,5,404.0,0.0625,0.9960878674785569,0.0657676759466562,445.0,370.7005102775015,0.9047619047619049,0.9769758883945736,0.1,True,1.0,12221.0,FMF,Female,Placebo-resistant (STRICT-ADAPTIVE)
37376, g__Corynebacterium, s__unclassified, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__unclassified; 37376; FM873770.1 gg_id:358127 occupant source house mattress dust clone MA04D05, FM873770.1 gg_id:358127 occupant source house mattress dust clone MA04D05,5,125.0,0.3125,0.9960878674785569,0.016551964402991788,257.0,180.94353903911573,1.0,1.0,0.0,True,1.0,13202.0,FMF,Female,Placebo-resistant (STRICT-ADAPTIVE)
71367, g__Catenibacterium, s__Catenibacterium mitsuokai, p__Tenericutes, c__Erysipelotrichi, o__Erysipelotrichales, f__Erysipelotrichaceae,k__Bacteria; p__Tenericutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Catenibacterium; s__Catenibacterium mitsuokai; 71367; AB030222.1 gg_id:27171 Catenibacterium mitsuokai str. JCM 10607, AB030222.1 gg_id:27171 Catenibacterium mitsuokai str. JCM 10607,5,17.0,0.8125,0.9960878674785569,0.009425193294135006,140.0,136.59234414856493,0.9047619047619049,0.9769758883945736,-0.1,True,1.0,13681.0,FMF,Female,Placebo-resistant (STRICT-ADAPTIVE)
18026, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 18026; DQ327057.1 gg_id:149210 Metagenomic gut microbiome healthy human stool clone E565, DQ327057.1 gg_id:149210 Metagenomic gut microbiome healthy human stool clone E565,5,-3.0,0.8125,0.9960878674785569,0.034977578114979854,171.0,507.67513187076634,0.9047619047619049,0.9769758883945736,-0.1,True,1.0,13660.0,FMF,Female,Placebo-resistant (STRICT-ADAPTIVE)
